Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
155;0.86064,0.278205,0.753869,0.312701,0.907041,0.678626,0.881096,-0.109849,-0.386004,-0.0737495,0.461865,-0.384742;-3.66313,-1.18823,-4.8407,2.08754
156;0.866552,0.278205,0.801603,0.23219,0.908986,0.381568,0.88091,-0.109849,-0.491735,0.467203,0.439689,-0.403599;-3.69764,-2.14916,-4.99332,2.81679
157;0.860909,0.278205,0.756196,0.175421,0.910011,0.361921,0.881168,-0.109849,-0.35098,0.479844,0.835084,0.172047;-2.48454,-0.502498,-5.44984,2.34323
158;0.899174,-0.262097,0.5613,0.0535765,0.863641,0.588972,0.949193,-0.258242,-0.62523,-0.346141,0.913084,0.156111;-0.167519,1.42763,-7.92974,1.27199
159;0.705378,-0.0700848,0.797755,0.34103,0.854132,0.696959,0.828753,0.362078,-0.505423,-0.0714162,0.385737,-0.401193;-5.09077,-1.41628,-6.46874,1.61705
160;0.81575,-0.55411,0.844024,-0.268267,0.69745,0.206718,0.924693,0.221607,-0.812331,0.0236557,0.799548,-0.148811;-0.961522,-0.503504,-11.4246,1.62432
161;0.872969,-0.262097,-0.00348019,0.0308776,0.851664,0.564598,0.935062,-0.258242,-0.771377,-0.0835897,0.678245,-0.336405;-0.288038,-0.779275,-7.16176,2.75887
162;0.93644,-0.617364,0.397542,0.319154,0.890607,0.252182,0.927046,0.0520431,-0.0360667,0.499801,0.558487,-0.212776;-1.87203,-1.43581,-5.7725,1.75605
163;0.945537,-0.617364,0.683359,0.627131,0.903058,0.133818,0.930231,0.0520431,-0.242437,0.415473,0.893452,0.407696;-1.59602,1.2548,-5.99032,1.00016
164;0.886611,0.278205,0.914666,0.600402,0.922694,0.688755,0.880378,-0.109849,-0.248697,-0.176429,0.811651,0.115714;-3.12127,0.849991,-4.42437,1.30227
165;0.885023,0.278205,0.908158,0.303567,0.913409,0.641953,0.882977,-0.109849,-0.643222,0.0738845,0.327905,-0.494617;-4.40385,-1.55335,-5.22133,2.36643
166;0.865923,0.278205,0.796857,0.0921049,0.913144,0.258197,0.881755,-0.109849,-0.572827,0.538069,0.588045,-0.257775;-2.96724,-1.91495,-6.01306,2.95618
167;0.850562,0.278205,0.656007,0.131056,0.909903,0.486612,0.88172,-0.109849,-0.319938,0.37718,0.86239,0.247363;-2.40857,-0.194703,-5.42175,2.20272
168;0.853508,0.278205,0.686761,0.2669,0.907212,0.671599,0.88129,-0.109849,-0.234539,-0.0397234,0.794436,0.0735081;-2.61049,0.0411352,-5.1057,1.7473
169;0.863369,0.278205,0.77678,0.310752,0.907734,0.63143,0.880933,-0.109849,-0.420257,0.110044,0.476128,-0.37144;-3.72336,-1.42264,-4.81686,2.30248
170;0.866418,0.278205,0.800599,0.213951,0.90946,0.394026,0.881002,-0.109849,-0.452289,0.458169,0.617439,-0.219853;-3.12757,-1.60086,-5.35208,2.68266
171;0.859601,0.278205,0.744739,0.196759,0.909988,0.509334,0.881232,-0.109849,-0.353287,0.348731,0.831417,0.162279;-2.62912,-0.292997,-5.40055,2.1821
172;0.858357,0.278205,0.733521,0.249459,0.908804,0.653744,0.881302,-0.109849,-0.337734,0.0337675,0.779813,0.0419714;-2.73195,-0.115931,-5.38375,1.90701
173;0.862138,0.278205,0.766634,0.257614,0.908587,0.622304,0.881144,-0.109849,-0.438488,0.136879,0.549852,-0.298932;-3.43714,-1.28912,-5.17465,2.33484
174;0.862715,0.278205,0.771427,0.204182,0.909247,0.456078,0.881115,-0.109849,-0.434033,0.40727,0.639647,-0.191268;-3.07603,-1.45838,-5.35614,2.60635
175;0.858895,0.278205,0.738415,0.206573,0.909347,0.526045,0.881203,-0.109849,-0.342886,0.326849,0.808866,0.106703;-2.67277,-0.435111,-5.33896,2.20403
176;0.859068,0.278205,0.739975,0.254917,0.908681,0.640266,0.881216,-0.109849,-0.339474,0.0816245,0.767812,0.0176541;-2.78581,-0.264118,-5.32292,1.97884
177;0.903294,-0.262097,0.634598,0.0600031,0.863171,0.541964,0.949114,-0.258242,-0.707154,-0.223783,0.764236,-0.278037;-0.449247,-0.0972869,-8.12635,1.8581
178;0.930362,-0.0835754,-0.106966,0.597156,0.955139,0.0815152,0.957133,0.288358,-0.901179,-0.0380171,0.0116537,-0.280961;-5.37413,-0.871156,-4.68578,2.87583
179;0.969844,-0.490066,0.577821,0.262398,0.965396,-0.739376,0.948166,0.546297,-0.453125,0.409666,0.180803,0.169504;-4.54256,-0.500204,-7.48832,1.58292
180;0.963834,-0.490066,0.175819,0.518424,0.96799,-0.649949,0.948778,0.546297,-0.792644,0.0459105,0.660382,0.584405;-2.89252,1.67864,-8.28518,1.75469
181;0.968526,-0.490066,0.497468,0.366113,0.967608,-0.274923,0.948932,0.546297,-0.649468,-0.302793,0.293668,0.25851;-4.44406,1.16115,-8.1833,0.916625
182;0.908789,-0.262097,0.720663,-0.116843,0.888656,0.118926,0.952475,-0.258242,-0.64513,-0.410132,0.47357,-0.612649;-0.377477,-1.07139,-8.70487,1.83411
183;0.931226,-0.617364,0.205284,0.381188,0.897808,0.0472917,0.930075,0.0520431,-0.759054,0.657136,0.203789,-0.522156;-3.00687,-2.25058,-6.03284,2.93526
184;0.947322,-0.617364,0.728075,0.319902,0.902088,-0.226046,0.930805,0.0520431,0.0364448,0.610399,0.929559,0.542613;-0.766953,0.891793,-6.55197,0.897805
185;0.945559,-0.617364,0.683932,0.651158,0.905053,0.474687,0.931144,0.0520431,-0.519858,-0.207501,0.920755,0.504903;-1.75596,2.81134,-6.93151,0.369692
186;0.888022,0.278205,0.920138,0.491714,0.922697,0.703225,0.880645,-0.109849,-0.473731,-0.256442,0.282058,-0.520275;-4.57506,-0.998118,-4.3917,1.80184
187;0.878345,0.278205,0.876527,0.185182,0.913643,0.213699,0.882977,-0.109849,-0.665865,0.553634,0.228135,-0.558847;-4.31054,-2.68372,-5.15698,3.06483
188;0.857513,0.278205,0.725734,0.0795106,0.912024,0.160217,0.881786,-0.109849,-0.393098,0.576322,0.867749,0.263546;-2.08908,-0.462572,-5.88093,2.4892
189;0.849598,0.278205,0.645564,0.228425,0.908439,0.674612,0.881571,-0.109849,-0.230687,-0.0536767,0.87495,0.28687;-2.41565,0.694657,-5.19533,1.56199
190;0.86064,0.278205,0.753869,0.312701,0.907041,0.678626,0.881096,-0.109849,-0.386004,-0.0737495,0.461865,-0.384742;-3.66313,-1.18823,-4.8407,2.08754
191;0.866552,0.278205,0.801603,0.23219,0.908986,0.381568,0.88091,-0.109849,-0.491735,0.467203,0.439689,-0.403599;-3.69764,-2.14916,-4.99332,2.81679
192;0.860909,0.278205,0.756196,0.175421,0.910011,0.361921,0.881168,-0.109849,-0.35098,0.479844,0.835084,0.172047;-2.48454,-0.502498,-5.44984,2.34323
193;0.899174,-0.262097,0.5613,0.0535765,0.863641,0.588972,0.949193,-0.258242,-0.62523,-0.346141,0.913084,0.156111;-0.167519,1.42763,-7.92974,1.27199
194;0.705378,-0.0700848,0.797755,0.34103,0.854132,0.696959,0.828753,0.362078,-0.505423,-0.0714162,0.385737,-0.401193;-5.09077,-1.41628,-6.46874,1.61705
195;0.81575,-0.55411,0.844024,-0.268267,0.69745,0.206718,0.924693,0.221607,-0.812331,0.0236557,0.799548,-0.148811;-0.961522,-0.503504,-11.4246,1.62432
196;0.872969,-0.262097,-0.00348019,0.0308776,0.851664,0.564598,0.935062,-0.258242,-0.771377,-0.0835897,0.678245,-0.336405;-0.288038,-0.779275,-7.16176,2.75887
197;0.93644,-0.617364,0.397542,0.319154,0.890607,0.252182,0.927046,0.0520431,-0.0360667,0.499801,0.558487,-0.212776;-1.87203,-1.43581,-5.7725,1.75605
198;0.945537,-0.617364,0.683359,0.627131,0.903058,0.133818,0.930231,0.0520431,-0.242437,0.415473,0.893452,0.407696;-1.59602,1.2548,-5.99032,1.00016
199;0.886611,0.278205,0.914666,0.600402,0.922694,0.688755,0.880378,-0.109849,-0.248697,-0.176429,0.811651,0.115714;-3.12127,0.849991,-4.42437,1.30227
200;0.885023,0.278205,0.908158,0.303567,0.913409,0.641953,0.882977,-0.109849,-0.643222,0.0738845,0.327905,-0.494617;-4.40385,-1.55335,-5.22133,2.36643
201;0.865923,0.278205,0.796857,0.0921049,0.913144,0.258197,0.881755,-0.109849,-0.572827,0.538069,0.588045,-0.257775;-2.96724,-1.91495,-6.01306,2.95618
202;0.850562,0.278205,0.656007,0.131056,0.909903,0.486612,0.88172,-0.109849,-0.319938,0.37718,0.86239,0.247363;-2.40857,-0.194703,-5.42175,2.20272
203;0.853508,0.278205,0.686761,0.2669,0.907212,0.671599,0.88129,-0.109849,-0.234539,-0.0397234,0.794436,0.0735081;-2.61049,0.0411352,-5.1057,1.7473
204;0.863369,0.278205,0.77678,0.310752,0.907734,0.63143,0.880933,-0.109849,-0.420257,0.110044,0.476128,-0.37144;-3.72336,-1.42264,-4.81686,2.30248
205;0.866418,0.278205,0.800599,0.213951,0.90946,0.394026,0.881002,-0.109849,-0.452289,0.458169,0.617439,-0.219853;-3.12757,-1.60086,-5.35208,2.68266
206;0.859601,0.278205,0.744739,0.196759,0.909988,0.509334,0.881232,-0.109849,-0.353287,0.348731,0.831417,0.162279;-2.62912,-0.292997,-5.40055,2.1821
207;0.858357,0.278205,0.733521,0.249459,0.908804,0.653744,0.881302,-0.109849,-0.337734,0.0337675,0.779813,0.0419714;-2.73195,-0.115931,-5.38375,1.90701
208;0.862138,0.278205,0.766634,0.257614,0.908587,0.622304,0.881144,-0.109849,-0.438488,0.136879,0.549852,-0.298932;-3.43714,-1.28912,-5.17465,2.33484
209;0.862715,0.278205,0.771427,0.204182,0.909247,0.456078,0.881115,-0.109849,-0.434033,0.40727,0.639647,-0.191268;-3.07603,-1.45838,-5.35614,2.60635
210;0.858895,0.278205,0.738415,0.206573,0.909347,0.526045,0.881203,-0.109849,-0.342886,0.326849,0.808866,0.106703;-2.67277,-0.435111,-5.33896,2.20403
211;0.859068,0.278205,0.739975,0.254917,0.908681,0.640266,0.881216,-0.109849,-0.339474,0.0816245,0.767812,0.0176541;-2.78581,-0.264118,-5.32292,1.97884
212;0.903294,-0.262097,0.634598,0.0600031,0.863171,0.541964,0.949114,-0.258242,-0.707154,-0.223783,0.764236,-0.278037;-0.449247,-0.0972869,-8.12635,1.8581
213;0.930362,-0.0835754,-0.106966,0.597156,0.955139,0.0815152,0.957133,0.288358,-0.901179,-0.0380171,0.0116537,-0.280961;-5.37413,-0.871156,-4.68578,2.87583
214;0.969844,-0.490066,0.577821,0.262398,0.965396,-0.739376,0.948166,0.546297,-0.453125,0.409666,0.180803,0.169504;-4.54256,-0.500204,-7.48832,1.58292
215;0.963834,-0.490066,0.175819,0.518424,0.96799,-0.649949,0.948778,0.546297,-0.792644,0.0459105,0.660382,0.584405;-2.89252,1.67864,-8.28518,1.75469
216;0.968526,-0.490066,0.497468,0.366113,0.967608,-0.274923,0.948932,0.546297,-0.649468,-0.302793,0.293668,0.25851;-4.44406,1.16115,-8.1833,0.916625
217;0.908789,-0.262097,0.720663,-0.116843,0.888656,0.118926,0.952475,-0.258242,-0.64513,-0.410132,0.47357,-0.612649;-0.377477,-1.07139,-8.70487,1.83411
218;0.931226,-0.617364,0.205284,0.381188,0.897808,0.0472917,0.930075,0.0520431,-0.759054,0.657136,0.203789,-0.522156;-3.00687,-2.25058,-6.03284,2.93526
219;0.947322,-0.617364,0.728075,0.319902,0.902088,-0.226046,0.930805,0.0520431,0.0364448,0.610399,0.929559,0.542613;-0.766953,0.891793,-6.55197,0.897805
220;0.945559,-0.617364,0.683932,0.651158,0.905053,0.474687,0.931144,0.0520431,-0.519858,-0.207501,0.920755,0.504903;-1.75596,2.81134,-6.93151,0.369692
221;0.888022,0.278205,0.920138,0.491714,0.922697,0.703225,0.880645,-0.109849,-0.473731,-0.256442,0.282058,-0.520275;-4.57506,-0.998118,-4.3917,1.80184
222;0.878345,0.278205,0.876527,0.185182,0.913643,0.213699,0.882977,-0.109849,-0.665865,0.553634,0.228135,-0.558847;-4.31054,-2.68372,-5.15698,3.06483
223;0.857513,0.278205,0.725734,0.0795106,0.912024,0.160217,0.881786,-0.109849,-0.393098,0.576322,0.867749,0.263546;-2.08908,-0.462572,-5.88093,2.4892
224;0.849598,0.278205,0.645564,0.228425,0.908439,0.674612,0.881571,-0.109849,-0.230687,-0.0536767,0.87495,0.28687;-2.41565,0.694657,-5.19533,1.56199
225;0.86064,0.278205,0.753869,0.312701,0.907041,0.678626,0.881096,-0.109849,-0.386004,-0.0737495,0.461865,-0.384742;-3.66313,-1.18823,-4.8407,2.08754
226;0.866552,0.278205,0.801603,0.23219,0.908986,0.381568,0.88091,-0.109849,-0.491735,0.467203,0.439689,-0.403599;-3.69764,-2.14916,-4.99332,2.81679
227;0.860909,0.278205,0.756196,0.175421,0.910011,0.361921,0.881168,-0.109849,-0.35098,0.479844,0.835084,0.172047;-2.48454,-0.502498,-5.44984,2.34323
228;0.899174,-0.262097,0.5613,0.0535765,0.863641,0.588972,0.949193,-0.258242,-0.62523,-0.346141,0.913084,0.156111;-0.167519,1.42763,-7.92974,1.27199
229;0.705378,-0.0700848,0.797755,0.34103,0.854132,0.696959,0.828753,0.362078,-0.505423,-0.0714162,0.385737,-0.401193;-5.09077,-1.41628,-6.46874,1.61705
230;0.81575,-0.55411,0.844024,-0.268267,0.69745,0.206718,0.924693,0.221607,-0.812331,0.0236557,0.799548,-0.148811;-0.961522,-0.503504,-11.4246,1.62432
231;0.872969,-0.262097,-0.00348019,0.0308776,0.851664,0.564598,0.935062,-0.258242,-0.771377,-0.0835897,0.678245,-0.336405;-0.288038,-0.779275,-7.16176,2.75887
232;0.93644,-0.617364,0.397542,0.319154,0.890607,0.252182,0.927046,0.0520431,-0.0360667,0.499801,0.558487,-0.212776;-1.87203,-1.43581,-5.7725,1.75605
233;0.945537,-0.617364,0.683359,0.627131,0.903058,0.133818,0.930231,0.0520431,-0.242437,0.415473,0.893452,0.407696;-1.59602,1.2548,-5.99032,1.00016
234;0.886611,0.278205,0.914666,0.600402,0.922694,0.688755,0.880378,-0.109849,-0.248697,-0.176429,0.811651,0.115714;-3.12127,0.849991,-4.42437,1.30227
235;0.885023,0.278205,0.908158,0.303567,0.913409,0.641953,0.882977,-0.109849,-0.643222,0.0738845,0.327905,-0.494617;-4.40385,-1.55335,-5.22133,2.36643
236;0.865923,0.278205,0.796857,0.0921049,0.913144,0.258197,0.881755,-0.109849,-0.572827,0.538069,0.588045,-0.257775;-2.96724,-1.91495,-6.01306,2.95618
237;0.850562,0.278205,0.656007,0.131056,0.909903,0.486612,0.88172,-0.109849,-0.319938,0.37718,0.86239,0.247363;-2.40857,-0.194703,-5.42175,2.20272
238;0.853508,0.278205,0.686761,0.2669,0.907212,0.671599,0.88129,-0.109849,-0.234539,-0.0397234,0.794436,0.0735081;-2.61049,0.0411352,-5.1057,1.7473
239;0.863369,0.278205,0.77678,0.310752,0.907734,0.63143,0.880933,-0.109849,-0.420257,0.110044,0.476128,-0.37144;-3.72336,-1.42264,-4.81686,2.30248
240;0.866418,0.278205,0.800599,0.213951,0.90946,0.394026,0.881002,-0.109849,-0.452289,0.458169,0.617439,-0.219853;-3.12757,-1.60086,-5.35208,2.68266
241;0.859601,0.278205,0.744739,0.196759,0.909988,0.509334,0.881232,-0.109849,-0.353287,0.348731,0.831417,0.162279;-2.62912,-0.292997,-5.40055,2.1821
242;0.858357,0.278205,0.733521,0.249459,0.908804,0.653744,0.881302,-0.109849,-0.337734,0.0337675,0.779813,0.0419714;-2.73195,-0.115931,-5.38375,1.90701
243;0.862138,0.278205,0.766634,0.257614,0.908587,0.622304,0.881144,-0.109849,-0.438488,0.136879,0.549852,-0.298932;-3.43714,-1.28912,-5.17465,2.33484
244;0.862715,0.278205,0.771427,0.204182,0.909247,0.456078,0.881115,-0.109849,-0.434033,0.40727,0.639647,-0.191268;-3.07603,-1.45838,-5.35614,2.60635
245;0.858895,0.278205,0.738415,0.206573,0.909347,0.526045,0.881203,-0.109849,-0.342886,0.326849,0.808866,0.106703;-2.67277,-0.435111,-5.33896,2.20403
246;0.859068,0.278205,0.739975,0.254917,0.908681,0.640266,0.881216,-0.109849,-0.339474,0.0816245,0.767812,0.0176541;-2.78581,-0.264118,-5.32292,1.97884
247;0.903294,-0.262097,0.634598,0.0600031,0.863171,0.541964,0.949114,-0.258242,-0.707154,-0.223783,0.764236,-0.278037;-0.449247,-0.0972869,-8.12635,1.8581
248;0.930362,-0.0835754,-0.106966,0.597156,0.955139,0.0815152,0.957133,0.288358,-0.901179,-0.0380171,0.0116537,-0.280961;-5.37413,-0.871156,-4.68578,2.87583
249;0.969844,-0.490066,0.577821,0.262398,0.965396,-0.739376,0.948166,0.546297,-0.453125,0.409666,0.180803,0.169504;-4.54256,-0.500204,-7.48832,1.58292
250;0.963834,-0.490066,0.175819,0.518424,0.96799,-0.649949,0.948778,0.546297,-0.792644,0.0459105,0.660382,0.584405;-2.89252,1.67864,-8.28518,1.75469
251;0.968526,-0.490066,0.497468,0.366113,0.967608,-0.274923,0.948932,0.546297,-0.649468,-0.302793,0.293668,0.25851;-4.44406,1.16115,-8.1833,0.916625
252;0.908789,-0.262097,0.720663,-0.116843,0.888656,0.118926,0.952475,-0.258242,-0.64513,-0.410132,0.47357,-0.612649;-0.377477,-1.07139,-8.70487,1.83411
253;0.931226,-0.617364,0.205284,0.381188,0.897808,0.0472917,0.930075,0.0520431,-0.759054,0.657136,0.203789,-0.522156;-3.00687,-2.25058,-6.03284,2.93526
254;0.947322,-0.617364,0.728075,0.319902,0.902088,-0.226046,0.930805,0.0520431,0.0364448,0.610399,0.929559,0.542613;-0.766953,0.891793,-6.55197,0.897805
255;0.945559,-0.617364,0.683932,0.651158,0.905053,0.474687,0.931144,0.0520431,-0.519858,-0.207501,0.920755,0.504903;-1.75596,2.81134,-6.93151,0.369692
256;0.888022,0.278205,0.920138,0.491714,0.922697,0.703225,0.880645,-0.109849,-0.473731,-0.256442,0.282058,-0.520275;-4.57506,-0.998118,-4.3917,1.80184
257;0.878345,0.278205,0.876527,0.185182,0.913643,0.213699,0.882977,-0.109849,-0.665865,0.553634,0.228135,-0.558847;-4.31054,-2.68372,-5.15698,3.06483
258;0.857513,0.278205,0.725734,0.0795106,0.912024,0.160217,0.881786,-0.109849,-0.393098,0.576322,0.867749,0.263546;-2.08908,-0.462572,-5.88093,2.4892
259;0.849598,0.278205,0.645564,0.228425,0.908439,0.674612,0.881571,-0.109849,-0.230687,-0.0536767,0.87495,0.28687;-2.41565,0.694657,-5.19533,1.56199
260;0.86064,0.278205,0.753869,0.312701,0.907041,0.678626,0.881096,-0.109849,-0.386004,-0.0737495,0.461865,-0.384742;-3.66313,-1.18823,-4.8407,2.08754
261;0.866552,0.278205,0.801603,0.23219,0.908986,0.381568,0.88091,-0.109849,-0.491735,0.467203,0.439689,-0.403599;-3.69764,-2.14916,-4.99332,2.81679
262;0.860909,0.278205,0.756196,0.175421,0.910011,0.361921,0.881168,-0.109849,-0.35098,0.479844,0.835084,0.172047;-2.48454,-0.502498,-5.44984,2.34323
263;0.899174,-0.262097,0.5613,0.0535765,0.863641,0.588972,0.949193,-0.258242,-0.62523,-0.346141,0.913084,0.156111;-0.167519,1.42763,-7.92974,1.27199
264;0.705378,-0.0700848,0.797755,0.34103,0.854132,0.696959,0.828753,0.362078,-0.505423,-0.0714162,0.385737,-0.401193;-5.09077,-1.41628,-6.46874,1.61705
265;0.81575,-0.55411,0.844024,-0.268267,0.69745,0.206718,0.924693,0.221607,-0.812331,0.0236557,0.799548,-0.148811;-0.961522,-0.503504,-11.4246,1.62432
266;0.872969,-0.262097,-0.00348019,0.0308776,0.851664,0.564598,0.935062,-0.258242,-0.771377,-0.0835897,0.678245,-0.336405;-0.288038,-0.779275,-7.16176,2.75887
267;0.93644,-0.617364,0.397542,0.319154,0.890607,0.252182,0.927046,0.0520431,-0.0360667,0.499801,0.558487,-0.212776;-1.87203,-1.43581,-5.7725,1.75605
268;0.945537,-0.617364,0.683359,0.627131,0.903058,0.133818,0.930231,0.0520431,-0.242437,0.415473,0.893452,0.407696;-1.59602,1.2548,-5.99032,1.00016
269;0.886611,0.278205,0.914666,0.600402,0.922694,0.688755,0.880378,-0.109849,-0.248697,-0.176429,0.811651,0.115714;-3.12127,0.849991,-4.42437,1.30227
270;0.885023,0.278205,0.908158,0.303567,0.913409,0.641953,0.882977,-0.109849,-0.643222,0.0738845,0.327905,-0.494617;-4.40385,-1.55335,-5.22133,2.36643
271;0.865923,0.278205,0.796857,0.0921049,0.913144,0.258197,0.881755,-0.109849,-0.572827,0.538069,0.588045,-0.257775;-2.96724,-1.91495,-6.01306,2.95618
272;0.850562,0.278205,0.656007,0.131056,0.909903,0.486612,0.88172,-0.109849,-0.319938,0.37718,0.86239,0.247363;-2.40857,-0.194703,-5.42175,2.20272
273;0.853508,0.278205,0.686761,0.2669,0.907212,0.671599,0.88129,-0.109849,-0.234539,-0.0397234,0.794436,0.0735081;-2.61049,0.0411352,-5.1057,1.7473
274;0.863369,0.278205,0.77678,0.310752,0.907734,0.63143,0.880933,-0.109849,-0.420257,0.110044,0.476128,-0.37144;-3.72336,-1.42264,-4.81686,2.30248
275;0.866418,0.278205,0.800599,0.213951,0.90946,0.394026,0.881002,-0.109849,-0.452289,0.458169,0.617439,-0.219853;-3.12757,-1.60086,-5.35208,2.68266
276;0.859601,0.278205,0.744739,0.196759,0.909988,0.509334,0.881232,-0.109849,-0.353287,0.348731,0.831417,0.162279;-2.62912,-0.292997,-5.40055,2.1821
277;0.858357,0.278205,0.733521,0.249459,0.908804,0.653744,0.881302,-0.109849,-0.337734,0.0337675,0.779813,0.0419714;-2.73195,-0.115931,-5.38375,1.90701
278;0.862138,0.278205,0.766634,0.257614,0.908587,0.622304,0.881144,-0.109849,-0.438488,0.136879,0.549852,-0.298932;-3.43714,-1.28912,-5.17465,2.33484
279;0.862715,0.278205,0.771427,0.204182,0.909247,0.456078,0.881115,-0.109849,-0.434033,0.40727,0.639647,-0.191268;-3.07603,-1.45838,-5.35614,2.60635
280;0.858895,0.278205,0.738415,0.206573,0.909347,0.526045,0.881203,-0.109849,-0.342886,0.326849,0.808866,0.106703;-2.67277,-0.435111,-5.33896,2.20403
281;0.859068,0.278205,0.739975,0.254917,0.908681,0.640266,0.881216,-0.109849,-0.339474,0.0816245,0.767812,0.0176541;-2.78581,-0.264118,-5.32292,1.97884
282;0.903294,-0.262097,0.634598,0.0600031,0.863171,0.541964,0.949114,-0.258242,-0.707154,-0.223783,0.764236,-0.278037;-0.449247,-0.0972869,-8.12635,1.8581
283;0.930362,-0.0835754,-0.106966,0.597156,0.955139,0.0815152,0.957133,0.288358,-0.901179,-0.0380171,0.0116537,-0.280961;-5.37413,-0.871156,-4.68578,2.87583
284;0.969844,-0.490066,0.577821,0.262398,0.965396,-0.739376,0.948166,0.546297,-0.453125,0.409666,0.180803,0.169504;-4.54256,-0.500204,-7.48832,1.58292
285;0.963834,-0.490066,0.175819,0.518424,0.96799,-0.649949,0.948778,0.546297,-0.792644,0.0459105,0.660382,0.584405;-2.89252,1.67864,-8.28518,1.75469
286;0.968526,-0.490066,0.497468,0.366113,0.967608,-0.274923,0.948932,0.546297,-0.649468,-0.302793,0.293668,0.25851;-4.44406,1.16115,-8.1833,0.916625
287;0.908789,-0.262097,0.720663,-0.116843,0.888656,0.118926,0.952475,-0.258242,-0.64513,-0.410132,0.47357,-0.612649;-0.377477,-1.07139,-8.70487,1.83411
288;0.931226,-0.617364,0.205284,0.381188,0.897808,0.0472917,0.930075,0.0520431,-0.759054,0.657136,0.203789,-0.522156;-3.00687,-2.25058,-6.03284,2.93526
289;0.947322,-0.617364,0.728075,0.319902,0.902088,-0.226046,0.930805,0.0520431,0.0364448,0.610399,0.929559,0.542613;-0.766953,0.891793,-6.55197,0.897805
290;0.945559,-0.617364,0.683932,0.651158,0.905053,0.474687,0.931144,0.0520431,-0.519858,-0.207501,0.920755,0.504903;-1.75596,2.81134,-6.93151,0.369692
291;0.888022,0.278205,0.920138,0.491714,0.922697,0.703225,0.880645,-0.109849,-0.473731,-0.256442,0.282058,-0.520275;-4.57506,-0.998118,-4.3917,1.80184
292;0.878345,0.278205,0.876527,0.185182,0.913643,0.213699,0.882977,-0.109849,-0.665865,0.553634,0.228135,-0.558847;-4.31054,-2.68372,-5.15698,3.06483
293;0.857513,0.278205,0.725734,0.0795106,0.912024,0.160217,0.881786,-0.109849,-0.393098,0.576322,0.867749,0.263546;-2.08908,-0.462572,-5.88093,2.4892
294;0.849598,0.278205,0.645564,0.228425,0.908439,0.674612,0.881571,-0.109849,-0.230687,-0.0536767,0.87495,0.28687;-2.41565,0.694657,-5.19533,1.56199
295;0.86064,0.278205,0.753869,0.312701,0.907041,0.678626,0.881096,-0.109849,-0.386004,-0.0737495,0.461865,-0.384742;-3.66313,-1.18823,-4.8407,2.08754
296;0.866552,0.278205,0.801603,0.23219,0.908986,0.381568,0.88091,-0.109849,-0.491735,0.467203,0.439689,-0.403599;-3.69764,-2.14916,-4.99332,2.81679
297;0.860909,0.278205,0.756196,0.175421,0.910011,0.361921,0.881168,-0.109849,-0.35098,0.479844,0.835084,0.172047;-2.48454,-0.502498,-5.44984,2.34323
298;0.899174,-0.262097,0.5613,0.0535765,0.863641,0.588972,0.949193,-0.258242,-0.62523,-0.346141,0.913084,0.156111;-0.167519,1.42763,-7.92974,1.27199
299;0.705378,-0.0700848,0.797755,0.34103,0.854132,0.696959,0.828753,0.362078,-0.505423,-0.0714162,0.385737,-0.401193;-5.09077,-1.41628,-6.46874,1.61705
